04-Jan-99,1.1812
05-Jan-99,1.176
06-Jan-99,1.1636
07-Jan-99,1.1672
08-Jan-99,1.1554
11-Jan-99,1.1534
12-Jan-99,1.1548
13-Jan-99,1.1698
14-Jan-99,1.1689
15-Jan-99,1.1591
19-Jan-99,1.161
20-Jan-99,1.1575
21-Jan-99,1.1577
22-Jan-99,1.1582
25-Jan-99,1.1566
26-Jan-99,1.1577
27-Jan-99,1.1481
28-Jan-99,1.1395
29-Jan-99,1.1371
01-Feb-99,1.1303
02-Feb-99,1.1328
03-Feb-99,1.1339
04-Feb-99,1.1306
05-Feb-99,1.1283
08-Feb-99,1.1296
09-Feb-99,1.13
10-Feb-99,1.1331
11-Feb-99,1.1303
12-Feb-99,1.1282
16-Feb-99,1.1189
17-Feb-99,1.123
18-Feb-99,1.1223
19-Feb-99,1.1075
22-Feb-99,1.1037
23-Feb-99,1.0993
24-Feb-99,1.0972
25-Feb-99,1.1068
26-Feb-99,1.0995
01-Mar-99,1.0891
02-Mar-99,1.0931
03-Mar-99,1.0888
04-Mar-99,1.0824
05-Mar-99,1.0843
08-Mar-99,1.0899
09-Mar-99,1.0873
10-Mar-99,1.0961
11-Mar-99,1.0932
12-Mar-99,1.0936
15-Mar-99,1.093
16-Mar-99,1.0915
17-Mar-99,1.1015
18-Mar-99,1.099
19-Mar-99,1.0923
22-Mar-99,1.0915
23-Mar-99,1.0918
24-Mar-99,1.0921
25-Mar-99,1.0871
26-Mar-99,1.0743
29-Mar-99,1.0716
30-Mar-99,1.0732
31-Mar-99,1.0808
01-Apr-99,1.0782
02-Apr-99,1.0782
05-Apr-99,1.0706
06-Apr-99,1.0838
07-Apr-99,1.0784
08-Apr-99,1.0835
09-Apr-99,1.0786
12-Apr-99,1.0842
13-Apr-99,1.078
14-Apr-99,1.0779
15-Apr-99,1.0717
16-Apr-99,1.0688
19-Apr-99,1.0608
20-Apr-99,1.063
21-Apr-99,1.0612
22-Apr-99,1.0598
23-Apr-99,1.0634
26-Apr-99,1.059
27-Apr-99,1.0649
28-Apr-99,1.0616
29-Apr-99,1.0591
30-Apr-99,1.0564
03-May-99,1.0571
04-May-99,1.0593
05-May-99,1.0724
06-May-99,1.0779
07-May-99,1.0781
10-May-99,1.0787
11-May-99,1.072
12-May-99,1.0666
13-May-99,1.0626
14-May-99,1.065
17-May-99,1.0672
18-May-99,1.0672
19-May-99,1.0641
20-May-99,1.063
21-May-99,1.0577
24-May-99,1.0593
25-May-99,1.0587
26-May-99,1.0471
27-May-99,1.0439
28-May-99,1.0422
01-Jun-99,1.0449
02-Jun-99,1.0357
03-Jun-99,1.0355
04-Jun-99,1.0327
07-Jun-99,1.0296
08-Jun-99,1.0438
09-Jun-99,1.045
10-Jun-99,1.0477
11-Jun-99,1.0516
14-Jun-99,1.0416
15-Jun-99,1.042
16-Jun-99,1.0298
17-Jun-99,1.0329
18-Jun-99,1.0368
21-Jun-99,1.0323
22-Jun-99,1.0323
23-Jun-99,1.0316
24-Jun-99,1.0372
25-Jun-99,1.0448
28-Jun-99,1.0373
29-Jun-99,1.0337
30-Jun-99,1.031
01-Jul-99,1.0236
02-Jul-99,1.0244
06-Jul-99,1.0249
07-Jul-99,1.0224
08-Jul-99,1.0198
09-Jul-99,1.0186
12-Jul-99,1.0139
13-Jul-99,1.0176
14-Jul-99,1.0215
15-Jul-99,1.022
16-Jul-99,1.0203
19-Jul-99,1.0203
20-Jul-99,1.042
21-Jul-99,1.0526
22-Jul-99,1.0509
23-Jul-99,1.0497
26-Jul-99,1.0651
27-Jul-99,1.0627
28-Jul-99,1.0644
